english,english_priority,spanish,spanish_priority,portuguese,portuguese_priority,german,german_priority,danish,danish_priority,dutch,dutch_priority,difficulty
zero,5,cero,5,zero,5,Null,5,nul,5,nul,5,0
one,5,uno,5,um,5,ein,5,en,5,een,5,0
two,5,dos,5,dois,5,zwei,5,to,5,twee,5,0
three,5,tres,5,três,5,drei,5,tre,5,drie,5,0
four,5,cuatro,5,quatro,5,vier,5,fire,5,vier,5,0
five,5,cinco,5,cinco,5,fünf,5,fem,5,vijf,5,0
six,5,seis,5,seis,5,sechs,5,seks,5,zes,5,0
seven,5,siete,5,sete,5,sieben,5,syv,5,zeven,5,0
eight,5,ocho,5,oito,5,acht,5,otte,5,acht,5,0
nine,5,nueve,5,nove,5,neun,5,ni,5,negen,5,0
ten,5,diez,5,dez,5,zehn,5,ti,5,tien,5,0
eleven,5,once,5,onze,5,elf,5,elleve,5,elf,5,0
twelve,5,doce,5,doze,5,zwölf,5,tolv,5,twaalf,5,0
thirteen,5,trece,5,treze,5,dreizehn,5,tretten,5,dertien,5,0
fourteen,5,catorce,5,catorze,5,vierzehn,5,fjorten,5,veertien,5,0
fifteen,5,quince,5,quinze,5,fünfzehn,5,femten,5,vijftien,5,0
sixteen,5,dieciséis,5,dezesseis,5,sechzehn,5,seksten,5,zestien,5,0
seventeen,5,diecisiete,5,dezessete,5,siebzehn,5,sytten,5,zeventien,5,0
eighteen,5,dieciocho,5,dezoito,5,achtzehn,5,atten,5,achttien,5,0
nineteen,5,diecinueve,5,dezenove,5,neunzehn,5,nitten,5,negentien,5,0
twenty,5,veinte,5,vinte,5,zwanzig,5,tyve,5,twintig,5,0
thirty,5,treinta,5,trinta,5,dreißig,5,tredive,5,dertig,5,0
forty,5,cuarenta,5,quarenta,5,vierzig,5,fyrre,5,veertig,5,0
fifty,5,cincuenta,5,cinqüenta,5,fünfzig,5,halvtreds,5,vijftig,5,0
sixty,5,sesenta,5,sessenta,5,sechzig,5,tres,5,zestig,5,0
seventy,5,setenta,5,setenta,5,siebzig,5,halvfjerds,5,zeventig,5,0
eighty,5,ochenta,5,oitenta,5,achtzig,5,firs,5,tachtig,5,0
ninety,5,noventa,5,noventa,5,neunzig,5,halvfems,5,negentig,5,0
hundred,5,cien,5,cem,5,Hundert,5,hundred,5,honderd,5,0
thousand,5,mil,5,mil,5,Tausend,5,tusinde,5,duizend,5,0
million,5,millón,5,milhão,5,Million,5,million,5,miljoen,5,0
billion,5,billón,5,bilhão,5,Milliarde,5,mia.kr.,5,miljard,5,0
trillion,5,trillón,5,trilhão,5,Billion,5,billion,5,triljoen,5,0
the,5,la,5,o,5,die,5,den,5,de,5,1
of,5,de,5,de,5,von,5,af,5,van,5,1
to,5,a,5,para,5,auf,5,til,5,naar,5,1
and,5,y,5,e,5,und,5,og,5,en,5,1
a,5,un,5,um,5,ein,5,a,5,een,5,1
in,5,en,5,em,5,in,5,i,5,in,5,1
is,5,es,5,é,5,ist,5,er,5,is,5,1
it,5,lo,5,ele,5,es,5,det,5,het,5,1
you,5,usted,5,você,5,Sie,5,du,5,u,5,1
that,5,que,5,que,5,dass,5,at,5,dat,5,1
he,5,él,5,ele,5,er,5,han,5,hij,5,1
was,5,era,5,foi,5,war,5,var,5,was,5,1
for,5,para,5,para,5,für,5,for,5,voor,5,1
on,5,en,5,em,5,auf,5,på,5,op,5,1
are,5,son,5,são,5,sind,5,er,5,zijn,5,1
with,5,con,5,com,5,mit,5,med,5,met,5,1
as,5,como,5,como,5,als,5,som,5,als,5,1
I,5,Yo,5,Eu,5,Ich,5,Jeg,5,Ik,5,1
his,5,su,5,sua,5,seine,5,hans,5,zijn,5,1
they,5,ellos,5,eles,5,sie,5,de,5,zij,5,1
be,5,ser,5,ser,5,sein,5,være,5,zijn,5,1
at,5,en,5,em,5,bei,5,på,5,bij,5,1
have,5,tener,5,ter,5,haben,5,have,5,hebben,5,1
this,5,esta,5,este,5,dies,5,dette,5,deze,5,1
from,5,de,5,de,5,von,5,fra,5,van,5,1
or,5,o,5,ou,5,oder,5,eller,5,of,5,1
had,5,tenía,5,teve,5,hatten,5,havde,5,had,5,1
by,5,por,5,por,5,durch,5,ved,5,door,5,1
hot,5,caliente,5,quente,5,heiß,5,hot,5,heet,5,1
word,5,palabra,5,palavra,5,Wort,5,ord,5,woord,5,1
but,5,sino,5,mas,5,aber,5,men,5,maar,5,1
what,5,¿qué,5,o que,5,was,5,Hvad,5,wat,5,1
some,5,algunos,5,alguns,5,einige,5,nogle,5,sommige,5,1
we,5,nosotros,5,nós,5,wir,5,vi,5,we,5,1
can,5,lata,5,lata,5,können,5,kan,5,kan,5,1
out,5,fuera,5,fora,5,aus,5,ud,5,uit,5,1
other,5,otro,5,outro,5,andere,5,andre,5,ander,5,1
were,5,eran,5,foram,5,waren,5,var,5,waren,5,1
all,5,todos,5,todos,5,alle,5,alle,5,alle,5,1
there,5,hay,5,lá,5,da,5,der,5,er,5,1
when,5,cuando,5,quando,5,wenn,5,når,5,wanneer,5,1
up,5,hasta,5,acima,5,nach oben,5,op,5,naar boven,5,1
use,5,utilizar,5,usar,5,verwenden,5,bruge,5,gebruiken,5,1
your,5,su,5,sua,5,Ihre,5,Deres,5,uw,5,1
how,5,cómo,5,como,5,wie,5,hvordan,5,hoe,5,1
said,5,dijo,5,dito,5,sagte,5,sagde,5,zei,5,1
an,5,un,5,um,5,ein,5,en,5,een,5,1
each,5,cada,5,cada,5,jeder,5,hver,5,elk,5,1
she,5,ella,5,ela,5,sie,5,hun,5,ze,5,1
which,5,que,5,que,5,die,5,som,5,die,5,1
do,5,hacer,5,fazer,5,tun,5,gøre,5,doen,5,1
their,5,su,5,seu,5,ihre,5,deres,5,hun,5,1
time,5,tiempo,5,tempo,5,Zeit,5,tid,5,tijd,5,1
if,5,si,5,se,5,wenn,5,hvis,5,indien,5,1
will,5,voluntad,5,vontade,5,werden,5,vil,5,zullen,5,1
way,5,manera,5,maneira,5,Weg,5,måde,5,manier,5,1
about,5,sobre,5,sobre,5,über,5,om,5,over,5,1
many,5,muchos,5,muitos,5,viele,5,mange,5,veel,5,1
then,5,entonces,5,depois,5,dann,5,så,5,dan,5,1
them,5,les,5,eles,5,sie,5,dem,5,ze,5,1
write,5,escribir,5,escrever,5,schreiben,5,skrive,5,schrijven,5,1
would,5,haría,5,faria,5,würde,5,ville,5,zou,5,1
like,5,como,5,como,5,wie,5,ligesom,5,zoals,5,1
so,5,tan,5,assim,5,so,5,så,5,zo,5,1
these,5,estos,5,estes,5,diese,5,disse,5,deze,5,1
her,5,ella,5,sua,5,ihr,5,hende,5,haar,5,1
long,5,largo,5,longo,5,lange,5,lang,5,lang,5,1
make,5,hacer,5,fazer,5,machen,5,gøre,5,maken,5,1
thing,5,cosa,5,coisa,5,Sache,5,ting,5,ding,5,1
see,5,ver,5,ver,5,sehen,5,se,5,zien,5,1
him,5,lo,5,ele,5,ihm,5,ham,5,hem,5,1
has,5,tiene,5,tem,5,hat,5,har,5,heeft,5,1
look,5,buscar,5,olhar,5,schauen,5,se,5,kijken,5,1
more,5,más,5,mais,5,mehr,5,mere,5,meer,5,1
day,5,día,5,dia,5,Tag,5,dag,5,dag,5,1
could,5,podría,5,poderia,5,könnte,5,kunne,5,kon,5,1
go,5,ir,5,ir,5,gehen,5,gå,5,gaan,5,1
come,5,venir,5,vir,5,kommen,5,komme,5,komen,5,1
did,5,hizo,5,fez,5,tat,5,gjorde,5,deed,5,1
number,5,número,5,número,5,Anzahl,5,nummer,5,aantal,5,1
sound,5,sonar,5,soar,5,klingen,5,lyd,5,klinken,5,1
no,5,no,5,não,5,nicht,5,nej,5,geen,5,1
most,5,más,5,a maioria,5,am meisten,5,mest,5,meest,5,1
people,5,personas,5,pessoas,5,Menschen,5,mennesker,5,mensen,5,1
my,5,mi,5,meu,5,meine,5,min,5,mijn,5,1
over,5,por encima,5,sobre,5,über,5,i løbet af,5,over,5,1
know,5,saber,5,saber,5,wissen,5,kende,5,weten,5,1
water,5,agua,5,água,5,Wasser,5,vand,5,water,5,1
than,5,de,5,de,5,als,5,end,5,dan,5,1
call,5,llamar,5,chamar,5,rufen,5,ringe,5,noemen,5,1
first,5,primero,5,primeiro,5,erste,5,første,5,eerste,5,1
who,5,que,5,que,5,die,5,der,5,die,5,1
may,5,puede,5,pode,5,können,5,kan,5,kunnen,5,1
down,5,abajo,5,para baixo,5,nach unten,5,ned,5,beneden,5,1
side,5,lado,5,lado,5,Seite,5,side,5,zijde,5,1
been,5,sido,5,sido,5,war,5,været,5,geweest,5,1
now,5,ahora,5,agora,5,jetzt,5,nu,5,nu,5,1
find,5,encontrar,5,encontrar,5,finden,5,find,5,vinden,5,1
any,5,cualquier,5,qualquer,5,jeder,5,enhver,5,een,5,1
new,5,nuevo,5,novo,5,neu,5,ny,5,nieuw,5,1
work,5,trabajar,5,trabalhar,5,arbeiten,5,arbejde,5,werken,5,1
part,5,parte,5,parte,5,Teil,5,del,5,deel,5,1
take,5,tomar,5,tomar,5,nehmen,5,tage,5,nemen,5,1
get,5,obtener,5,obter,5,bekommen,5,få,5,krijgen,5,1
place,5,lugar,5,lugar,5,Ort,5,sted,5,plaats,5,1
made,5,hecho,5,feito,5,gemacht,5,lavet,5,gemaakt,5,1
live,5,vivir,5,viver,5,leben,5,leve,5,wonen,5,1
where,5,donde,5,onde,5,wo,5,hvor,5,waar,5,1
after,5,después,5,depois,5,nach,5,efter,5,na,5,1
back,5,espalda,5,de volta,5,zurück,5,tilbage,5,terug,5,1
little,5,poco,5,pouco,5,wenig,5,lidt,5,weinig,5,1
only,5,sólo,5,apenas,5,nur,5,kun,5,alleen,5,1
round,5,redondear,5,volta,5,runden,5,runde,5,rond,5,1
man,5,hombre,5,homem,5,Mann,5,mand,5,man,5,1
year,5,año,5,ano,5,Jahr,5,år,5,jaar,5,1
came,5,vino,5,veio,5,kam,5,kom,5,kwam,5,1
show,5,mostrar,5,mostrar,5,zeigen,5,vise,5,tonen,5,1
every,5,cada,5,cada,5,jeder,5,hver,5,iedere,5,1
good,5,bueno,5,bom,5,gut,5,god,5,goed,5,1
me,5,me,5,me,5,mich,5,mig,5,me,5,1
give,5,dar,5,dar,5,geben,5,giver,5,geven,5,1
our,5,nuestro,5,nosso,5,unsere,5,vores,5,onze,5,1
under,5,bajo,5,em,5,unter,5,under,5,onder,5,1
name,5,nombre,5,nome,5,Name,5,navn,5,naam,5,1
very,5,muy,5,muito,5,sehr,5,meget,5,zeer,5,1
through,5,a través de,5,através,5,durch,5,gennem,5,door,5,1
just,5,sólo,5,justo,5,nur,5,bare,5,gewoon,5,1
form,5,formulario,5,forma,5,Form,5,formular,5,vorm,5,1
sentence,5,frase,5,sentença,5,Satz,5,sætning,5,zin,5,1
great,5,gran,5,grande,5,groß,5,stor,5,groot,5,1
think,5,pensar,5,pensar,5,denken,5,tænke,5,denken,5,1
say,5,decir,5,dizer,5,sagen,5,sige,5,zeggen,5,1
help,5,ayudar,5,ajudar,5,helfen,5,hjælp,5,helpen,5,1
low,5,bajo,5,baixo,5,gering,5,lav,5,laag,5,1
line,5,línea,5,linha,5,Linie,5,line,5,lijn,5,1
differ,5,diferir de,5,diferir,5,abweichen,5,afvige,5,verschillen,5,1
turn,5,vuelta,5,transformar,5,drehen,5,drej,5,draaien,5,1
cause,5,causar,5,causar,5,verursachen,5,forårsage,5,veroorzaken,5,1
much,5,mucho,5,muito,5,viel,5,meget,5,veel,5,1
mean,5,significar,5,significar,5,bedeuten,5,betyde,5,betekenen,5,1
before,5,antes,5,antes,5,vor,5,før,5,voor,5,1
move,5,mover,5,mover,5,bewegen,5,flytte,5,bewegen,5,1
right,5,derecho,5,direito,5,rechts,5,højre,5,rechts,5,1
boy,5,niño,5,menino,5,Junge,5,dreng,5,jongen,5,1
old,5,viejo,5,velho,5,alt,5,gammel,5,oud,5,1
too,5,demasiado,5,também,5,zu,5,også,5,te,5,1
same,5,mismo,5,mesmo,5,gleich,5,samme,5,dezelfde,5,1
tell,5,contar,5,dizer,5,sagen,5,fortælle,5,vertellen,5,1
does,5,hace,5,faz,5,tut,5,gør,5,doet,5,1
set,5,establecer,5,conjunto,5,setzen,5,indstille,5,ingesteld,5,1
want,5,querer,5,querer,5,wollen,5,ønsker,5,willen,5,1
air,5,aire,5,ar,5,Luft,5,luft,5,lucht,5,1
well,5,bien,5,bem,5,gut,5,godt,5,goed,5,1
also,5,también,5,também,5,auch,5,også,5,ook,5,1
play,5,jugar,5,jogar,5,spielen,5,spille,5,spelen,5,1
small,5,pequeño,5,pequeno,5,klein,5,small,5,klein,5,1
end,5,final,5,final,5,Ende,5,ende,5,einde,5,1
put,5,poner,5,colocar,5,setzen,5,sætte,5,zetten,5,1
home,5,casa,5,casa,5,Zuhause,5,hjem,5,thuis,5,1
read,5,leer,5,ler,5,lesen,5,læse,5,lezen,5,1
hand,5,mano,5,mão,5,Hand,5,hånd,5,hand,5,1
port,5,puerto,5,porta,5,Port,5,port,5,poort,5,1
large,5,grande,5,grande,5,groß,5,large,5,groot,5,1
spell,5,deletrear,5,soletrar,5,buchstabieren,5,stave,5,spellen,5,1
add,5,añadir,5,adicionar,5,hinzufügen,5,tilføj,5,toevoegen,5,1
even,5,incluso,5,mesmo,5,auch,5,selv,5,zelfs,5,1
land,5,tierra,5,terra,5,Land,5,jord,5,land,5,2
here,5,aquí,5,aqui,5,hier,5,her,5,hier,5,2
must,5,deber,5,obrigação,5,Muss,5,skal,5,moet,5,2
big,5,grande,5,grande,5,groß,5,big,5,groot,5,2
high,5,alto,5,alto,5,hoch,5,høj,5,hoog,5,2
such,5,tal,5,tal,5,so,5,sådan,5,dergelijk,5,2
follow,5,seguir,5,seguir,5,folgen,5,følge,5,volgen,5,2
act,5,actuar,5,agir,5,handeln,5,handle,5,handelen,5,2
why,5,por qué,5,por que,5,warum,5,hvorfor,5,waarom,5,2
ask,5,pedir,5,perguntar,5,fragen,5,spørg,5,vragen,5,2
men,5,hombres,5,homens,5,Männer,5,mænd,5,mensen,5,2
change,5,cambiar,5,mudar,5,ändern,5,ændre,5,veranderen,5,2
went,5,fue,5,fui,5,ging,5,gik,5,ging,5,2
light,5,luz,5,luz,5,Licht,5,lys,5,licht,5,2
kind,5,tipo,5,tipo,5,Art,5,art,5,soort,5,2
off,5,de,5,fora,5,ab,5,off,5,uit,5,2
need,5,necesidad,5,necessidade,5,müssen,5,behov,5,moeten,5,2
house,5,casa,5,casa,5,Haus,5,hus,5,huis,5,2
picture,5,imagen,5,quadro,5,Bild,5,billede,5,afbeelding,5,2
try,5,tratar de,5,tentar,5,versuchen,5,prøv,5,proberen,5,2
us,5,nosotros,5,nos,5,uns,5,os,5,ons,5,2
again,5,otra vez,5,novamente,5,wieder,5,igen,5,weer,5,2
animal,5,animal,5,animal,5,Tier,5,dyr,5,dier,5,2
point,5,punto,5,ponto,5,Punkt,5,punkt,5,punt,5,2
mother,5,madre,5,mãe,5,Mutter,5,mor,5,moeder,5,2
world,5,mundo,5,mundo,5,Welt,5,verden,5,wereld,5,2
near,5,cerca,5,perto,5,nahe,5,nær,5,dichtbij,5,2
build,5,construir,5,construir,5,bauen,5,opbygge,5,bouwen,5,2
self,5,yo,5,eu,5,selbst,5,self,5,zelf,5,2
earth,5,tierra,5,terra,5,Erde,5,jord,5,aarde,5,2
father,5,padre,5,pai,5,Vater,5,far,5,vader,5,2
head,5,cabeza,5,cabeça,5,Kopf,5,hoved,5,hoofd,5,2
stand,5,estar de pie,5,suporte,5,stehen,5,stå,5,staan,5,2
own,5,propio,5,próprio,5,besitzen,5,egen,5,eigen,5,2
page,5,página,5,página,5,Seite,5,side,5,pagina,5,2
should,5,debería,5,deveria,5,sollte,5,bør,5,moeten,5,2
country,5,país,5,país,5,Land,5,land,5,land,5,2
found,5,encontrado,5,encontrado,5,gefunden,5,fundet,5,gevonden,5,2
answer,5,responder,5,responder,5,beantworten,5,besvare,5,beantwoorden,5,2
school,5,escuela,5,escola,5,Schule,5,skole,5,school,5,2
grow,5,crecer,5,crescer,5,wachsen,5,vokse,5,groeien,5,2
study,5,estudiar,5,estudar,5,studieren,5,studere,5,studeren,5,2
still,5,todavía,5,ainda,5,noch,5,stadig,5,nog,5,2
learn,5,aprender,5,aprender,5,lernen,5,lære,5,leren,5,2
plant,5,planta,5,planta,5,Anlage,5,plante,5,plant,5,2
cover,5,cubrir,5,cobrir,5,decken,5,dække,5,dekken,5,2
food,5,alimento,5,comida,5,Lebensmittel,5,mad,5,voedsel,5,2
sun,5,sol,5,sol,5,Sonne,5,sol,5,zon,5,2
between,5,entre,5,entre,5,zwischen,5,mellem,5,tussen,5,2
state,5,estado,5,estado,5,Zustand,5,stat,5,staat,5,2
keep,5,mantener,5,manter,5,halten,5,holde,5,houden,5,2
eye,5,ojo,5,olho,5,Auge,5,øje,5,oog,5,2
never,5,nunca,5,nunca,5,nie,5,aldrig,5,nooit,5,2
last,5,último,5,passado,5,letzte,5,sidste,5,laatste,5,2
let,5,dejar,5,deixar,5,lassen,5,lad,5,laten,5,2
thought,5,pensamiento,5,pensamento,5,Denken,5,tænkte,5,gedachte,5,2
city,5,ciudad,5,cidade,5,Stadt,5,by,5,stad,5,2
tree,5,árbol,5,árvore,5,Baum,5,træ,5,boom,5,2
cross,5,cruzar,5,atravessar,5,überqueren,5,krydse,5,oversteken,5,2
farm,5,granja,5,fazenda,5,Bauernhof,5,gård,5,boerderij,5,2
hard,5,duro,5,difícil,5,schwer,5,hårdt,5,hard,5,2
start,5,iniciar,5,começar,5,starten,5,starte,5,beginnen,5,2
might,5,fuerza,5,poder,5,Macht,5,måske,5,macht,5,2
story,5,historia,5,história,5,Geschichte,5,historie,5,verhaal,5,2
saw,5,sierra,5,serra,5,Säge,5,så,5,zagen,5,2
far,5,lejos,5,longe,5,weit,5,langt,5,ver,5,2
sea,5,mar,5,mar,5,Meer,5,hav,5,zee,5,2
draw,5,dibujar,5,desenhar,5,ziehen,5,uafgjort,5,trekken,5,2
left,5,izquierda,5,deixaram,5,links,5,venstre,5,links,5,2
late,5,tarde,5,tarde,5,spät,5,sent,5,laat,5,2
run,5,ejecutar,5,correr,5,laufen,5,løbe,5,lopen,5,2
don't,5,no,5,não,5,nicht,5,ikke,5,niet,5,2
while,5,mientras que,5,enquanto,5,während,5,mens,5,terwijl,5,2
press,5,pulsar,5,imprensa,5,drücken,5,trykke,5,drukken,5,2
close,5,cerrar,5,fechar,5,schließen,5,lukke,5,sluiten,5,2
night,5,noche,5,noite,5,Nacht,5,nat,5,nacht,5,2
real,5,real,5,real,5,real,5,real,5,echt,5,2
life,5,vida,5,vida,5,Leben,5,liv,5,leven,5,2
few,5,pocos,5,poucos,5,wenige,5,få,5,weinig,5,2
north,5,norte,5,norte,5,Norden,5,nord,5,noorden,5,2
open,5,abrir,5,abrir,5,öffnen,5,åbent,5,openen,5,2
seem,5,parecer,5,parecer,5,scheinen,5,synes,5,lijken,5,2
together,5,juntos,5,juntos,5,zusammen,5,sammen,5,samen,5,2
next,5,próximo,5,próximo,5,nächste,5,næste,5,volgende,5,2
white,5,blanco,5,branco,5,weiß,5,hvid,5,wit,5,2
children,5,niños,5,crianças,5,Kinder,5,børn,5,kinderen,5,2
begin,5,comenzar,5,começar,5,beginnen,5,begynde,5,beginnen,5,2
got,5,tiene,5,tem,5,habe,5,fik,5,kreeg,5,2
walk,5,caminar,5,andar,5,gehen,5,gang,5,lopen,5,2
example,5,ejemplo,5,exemplo,5,Beispiel,5,eksempel,5,voorbeeld,5,2
ease,5,facilidad,5,facilidade,5,erleichtern,5,lette,5,gemak,5,2
paper,5,papel,5,papel,5,Papier,5,papir,5,papier,5,2
group,5,grupo,5,grupo,5,Gruppe,5,gruppe,5,groep,5,2
always,5,siempre,5,sempre,5,immer,5,altid,5,altijd,5,2
music,5,música,5,música,5,Musik,5,musik,5,muziek,5,2
those,5,aquellos,5,aqueles,5,diejenigen,5,dem,5,die,5,2
